,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
740105a R. tomentosum ssp. tomentosum,–,–,–,R,F,F,1,,,,,,,,
740105b R. tomentosum ssp. decumbens,–,–,R,F,F,F,1,,,,,,,,
7402 Therorhodion,,,,,,,,,,,,,,,7402
740201 T. glandulosum,–,–,–,?,F,F,1,,,,,,,,
7403 Kalmia,,,,,,,,,,,,,,,7403
740301 K. polifolia (ssp. polifolia),–,–,–,–,S,F,1,,,,,,,,
740302 K. procumbens,–,–,R,F,F,F,1,,,,,,,,
7404 Phyllodoce,,,,,,,,,,,,,,,7404
740401 P. caerulea,–,–,–,?,F,F,1,,,,,,,,
740402 P. aleutica (ssp. aleutica),–,–,–,–,R,F,1,,,,,,,,
7405 Calluna,,,,,,,,,,,,,,,7405
740501 C. vulgaris,–,–,–,–,F,F,1,,,,,,,,
7406 Cassiope,,,,,,,,,,,,,,,7406
740601 C. tetragona (ssp. tetragona),–,?,F,F,F,F,1,,,,,,,,
740602 C. ericoides,–,–,–,–,R,F,1,,,,,,,,
740603 C. lycopodioides,–,–,–,–,R,F,1,,,,,,,,
7407 Harrimanella,,,,,,,,,,,,,,,7407
740701 H. hypnoides,–,–,R,F,F,F,1,,,,,,,,
740702 H. stelleriana,–,–,–,–,R,F,1,,,,,,,,
7408 Andromeda,,,,,,,,,,,,,,,7408
740801 A. polifolia,–,–,?,F,F,F,1,,,,,,,,
740802 A. glaucophylla,–,–,–,R,S,F,1,,,,,,,,
7409 Chamaedaphne,,,,,,,,,,,,,,,7409
740901 C. calyculata,–,–,–,?,S,F,1,,,,,,,,
7410 Arctostaphylos,,,,,,,,,,,,,,,7410
741001 A. uva–ursi,–,–,–,R,S,F,1,,,,,,,,
7411 Arctous,,,,,,,,,,,,,,,7411
741101 A. alpina,–,–,S,F,F,F,1,,,,,,,,
741102 A. rubra,–,–,–,S,F,F,1,,,,,,,,
7412 Gaulteria,,,,,,,,,,,,,,,7412
741201 G. hispidula,–,–,–,–,R,F,1,,,,,,,,
7413 Vaccinium,,,,,,,,,,,,,,,7413
741301 V. myrtillus,–,–,–,F,F,F,1,,,,,,,,
741302 V. ovalifolium,–,–,–,–,R,S,1,,,,,,,,
741303 V. cespitosum,–,–,–,–,R,S,1,,,,,,,,
741304 V. myrtilloides,–,–,–,–,R,F,1,,,,,,,,
741305a V. uliginosum ssp. uliginosum,–,–,–,R,S,F,1,,,,,,,,
741305b V. uliginosum ssp. microphyllum,–,?,S,F,F,F,1,,,,,,,,
741305c V. uliginosum ssp. occidentale,–,–,–,–,b,F,1,,1,,,,,,
741305d V. uliginosum ssp. pedris,–,–,–,?,F,F,1,,,,,,,,
741305e V. uliginosum ssp. vulcanorum,–,–,–,R,S,R,1,,,,,,,,
741306a V. vitis–idaea ssp. vitis–idaea,–,–,–,–,S,F,1,,,,,,,,
741306b V. vitis–idaea ssp. minus,–,?,R,F,F,F,1,,,,,,,,
7414 Oxycoccus,,,,,,,,,,,,,,,7414
741401a O. palustris ssp. palustris,–,–,–,–,R,F,1,,,,,,,,
741401b O. palustris ssp. microphyllus,–,–,–,R,R,R,1,,,,,,,,
741402 O. microcarpus,–,–,–,R,S,F,1,,,,,,,,
7415 Empetrum,,,,,,,,,,,,,,,7415
741502 E. nigrum,–,R,S,F,F,F,1,,,,,,,,
7416 Pyrola,,,,,,,,,,,,,,,7416
741601a P. grandiflora ssp. grandiflora,–,–,S,F,F,S,1,,,,,,,,
741601b P. grandiflora ssp. norvegica,–,–,–,–,F,F,1,,,,,,,,
741602a P. asarifolia ssp. incarnata,–,–,–,?,F,F,1,,,,,,,,
741603a P. minor var. conferta,–,–,–,R,F,F,1,,,,,,,,
741604 P. chlorantha,–,–,–,–,R,F,1,,,,,,,,
7417 Orthilia,,,,,,,,,,,,,,,7417
741701a O. secunda ssp. secunda,–,–,–,–,S,F,1,,,,,,,,
741701b O. secunda ssp. obtusata,–,–,R,S,F,F,1,,,,,,,,
7418 Moneses,,,,,,,,,,,,,,,7418
741801 M. uniflora,–,–,–,–,S,F,1,,,,,,,,
75 RUBIACEAE,,,,,,,,,,,,,,,
7501 Galium,,,,,,,,,,,,,,,7501
750101 G. kamtschaticum,–,–,–,–,R,R,1,,,,,,,,
750102 G. boreale,–,–,–,S,F,F,1,,,,,,,,
750103 G. triflorum,–,–,–,R,S,F,1,,,,,,,,
750104 G. uliginosum,–,–,–,–,F,F,1,,,,,,,,
750105 G. palustre,–,–,–,–,R,F,1,,,,,,,,
750106a G. trifidum ssp. trifidum,–,–,–,R,R,F,1,,,,,,,,
750106b G. trifidum ssp. columbianum,–,–,–,–,R,S,1,,,,,,,,
750107 G. labradoricum,–,–,–,–,R,F,1,,,,,,,,
750108 G. verum,–,–,–,?,S,F,1,,,,1,,,,
750109a G. mollugo ssp. erectum,–,–,–,–,*,*,1,,,,,1,,,
750110 G. normanii,–,–,–,–,R,S,1,,,,,,,,
750111a G. spurium ssp. vaillantii,–,–,–,–,*,S,1,,,1,,,,,
750112 G. aparine,–,–,–,–,R,F,1,,,,,,,1,
76 GENTIANACEAE,,,,,,,,,,,,,,,
7601 Gentiana,,,,,,,,,,,,,,,7601
760101 G. algida,–,–,–,R,F,F,1,,,,,,,,
760102 G. glauca,–,–,–,S,F,F,1,,,,,,,,
760103 G. nivalis,–,–,–,F,F,F,1,,,,,,,,
760104 G. verna,–,–,–,R,F,S,1,,,,,,,,
760105 G. prostrata,–,–,–,R,F,F,1,,,,,,,,
7602 Gentianella,,,,,,,,,,,,,,,7602
760201 G. campestris,–,–,–,–,S,F,1,,,,,,,,
760202a G. amarella ssp. amarella,–,–,–,–,R,F,1,,,,,,,,
760202b G. amarella ssp. septentrionalis,–,–,–,–,S,F,1,,,,,,,,
760202c G. amarella ssp. acuta,–,–,–,–,R,F,1,,,,,,,,
760203a G. propinqua ssp. propinqua,–,–,–,R,F,F,1,,,,,,,,
760203b G. propinqua ssp. arctophila,–,–,–,R,S,R,1,,,,,,,,
760204 G. auriculata,–,–,–,–,R,F,1,,,,,,,,
760205 G. aurea,–,–,–,R,F,F,1,,,,,,,,
7603 Comastoma,,,,,,,,,,,,,,,7603
760301 C. tenellum,–,–,R,F,F,S,1,,,,,,,,
7604 Gentianopsis,,,,,,,,,,,,,,,7604
760401 G. detonsa,–,–,R,S,F,F,1,,,,,,,,
760402 G. nesophila,–,–,–,–,R,S,1,,,,,,,,
760403a G. barbata ssp. barbata,–,–,–,R,S,S,1,,,,,,,,
760403b G. barbata ssp. raupii,–,–,–,–,R,S,1,,,,,,,,
7605 Lomatogonium,,,,,,,,,,,,,,,7605
760501a L. rotatum ssp. rotatum,–,–,–,R,S,S,1,,,,,,,,
760501b L. rotatum ssp. tenuifolium,–,–,–,–,S,S,1,,,,,,,,
760502 L. carinthiacum,–,–,–,–,R,S,1,,,,,,,,
7606 Swertia,,,,,,,,,,,,,,,7606
760601 S. obtusa,–,–,–,–,R,S,1,,,,,,,,
77 LAMIACEAE,,,,,,,,,,,,,,,
7701 Ajuga,,,,,,,,,,,,,,,7701
770101 A. pyramidalis,–,–,–,–,R,F,1,,,,,,,,
7702 Scutellaria,,,,,,,,,,,,,,,7702
770201b S. galericulata ssp. pubescens,–,–,–,–,R,F,1,,,,,,,,
7703 Glechoma,,,,,,,,,,,,,,,7703
770301 G. hederacea,–,–,–,–,*,S,1,,,1,,,,,
7704 Dracocephalum,,,,,,,,,,,,,,,7704
770401 D. palmatum,–,–,–,R,F,F,1,,,,,,,,
770402 D. parviflorum,–,–,–,–,*,S,1,,,1,,,,,
7705 Prunella,,,,,,,,,,,,,,,7705
770501a P. vulgaris ssp. vulgaris,–,–,–,–,R,F,1,,,,1,,,,
770501b P. vulgaris ssp. lanceolata,–,–,–,–,b,F,1,,1,,,,,,
7706 Galeopsis,,,,,,,,,,,,,,,7706
770601 G. bifida,–,–,–,–,*,F,1,,,,,1,,,
770602 G. tetrahit,–,–,–,–,R,S,1,,,,1,,,,
7707 Lamium,,,,,,,,,,,,,,,7707
770701 L. album (ssp. album),–,–,–,–,R,F,1,,,,1,,,,
770702 L. purpureum,–,–,–,–,*,*,1,,,,,1,,,
7708 Stachys,,,,,,,,,,,,,,,7708
770801a S. palustris ssp. pilosa,–,–,–,–,b,S,1,,1,,,,,,
7709 Lycopus,,,,,,,,,,,,,,,7709
770901 L. uniflorus,–,–,–,–,R,S,1,,,,,,,,
7710 Mentha,,,,,,,,,,,,,,,7710
771001 M. aquatica,–,–,–,–,b,R,1,,1,,,,,,
771002 M. arvensis,–,–,–,–,R,F,1,,,,1,,,,
771003 M. canadensis,–,–,–,–,R,F,1,,,,,,,,
7711 Thymus,,,,,,,,,,,,,,,7711
771101a T. praecox ssp. arcticus,–,–,–,R,F,F,1,,,,,,,,
771102a T. serpyllum ssp. tanaensis,–,–,–,–,R,S,1,,,,,,,,
771103 T. pauciflorus,–,–,–,–,R,S,1,,,,,,,,
771104 T. reverdattoanus,–,–,–,–,S,F,1,,,,,,,,
771105 T. extremus,–,–,–,R,F,F,1,,,,,,,,
771106 T. oxyodontus,–,–,–,R,F,F,1,,,,,,,,
771107 T. karavaevi,–,–,–,–,b,R,1,,1,,,,,,
771108 T. mongolicus,–,–,–,–,R,S,1,,,,,,,,
771109 T. sibiricus,–,–,–,–,R,F,1,,,,,,,,
78 PHRYMACEAE,,,,,,,,,,,,,,,
7801 Mimulus,,,,,,,,,,,,,,,7801
780101 M. guttatus,–,–,–,–,R,S,1,,,,,,,,
79 SCROPHULARIACEAE,,,,,,,,,,,,,,,
7901 Limosella,,,,,,,,,,,,,,,7901
790101 L. aquatica,–,–,–,R,R,S,1,,,,,,,,
80 PLANTAGINACEAE,,,,,,,,,,,,,,,
8001 Linaria,,,,,,,,,,,,,,,8001
800101a L. vulgaris ssp. vulgaris,–,–,–,–,*,S,1,,,1,,,,,
800101b L. vulgaris ssp. acutiloba,–,–,–,–,R,S,1,,,,,,,,
8002 Lagotis,,,,,,,,,,,,,,,8002
800201a L. glauca ssp. glauca,–,–,–,–,R,S,1,,,,,,,,
800201b L. glauca ssp. stelleri,?,S,F,F,F,S,1,,,,,,,,
800201c L. glauca ssp. minor,–,S,F,F,F,S,1,,,,,,,,
8003 Veronica,,,,,,,,,,,,,,,8003
800301 V. longifolia,–,–,–,F,F,F,1,,,,,,,,
800302 V. incana (ssp. incana),–,–,–,–,R,S,1,,,,,,,,
800303 V. spicata (ssp. spicata),–,–,–,–,R,S,1,,,,,,,,
800304a V. alpina ssp. alpina,–,–,S,F,F,F,1,,,,,,,,
800304b V. alpina ssp. pumila,–,–,–,–,R,S,1,,,,,,,,
800305 V. nutans,–,–,–,–,R,F,1,,,,,,,,
800306 V. wormskjoldii,–,–,–,R,F,F,1,,,,,,,,
800307 V. fruticans (ssp. fruticans),–,–,R,F,F,F,1,,,,,,,,
800308a V. serpyllifolia ssp. serpyllifolia,–,–,–,–,S,F,1,,,,1,,,,
800308b V. serpyllifolia ssp. humifusa,–,–,–,–,R,S,1,,,,,,,,
800309 V. chamaedrys,–,–,–,–,*,S,1,,,1,,,,,
800310 V. officinalis,–,–,–,–,R,F,1,,,,,,,1,
800311 V. scutellata,–,–,–,–,R,F,1,,,,,,,,
800312 V. alaskensis,–,–,–,–,b,R,1,,1,,,,,,
8004 Plantago,,,,,,,,,,,,,,,8004
800401 P. major (ssp. major),–,–,**,*,*,S,1,,,,,1,,,
800402 P. depressa,–,–,–,*,*,S,1,,,1,,,,,
800403 P. media,–,–,–,–,b,S,1,,1,,1,,,,
800404 P. lanceolata,–,–,–,–,b,S,1,,1,,,,,1,
800405a P. canescens ssp. canescens,–,–,–,–,*,F,1,,,1,,,,,
800405b P. canescens ssp. jurtzevii,–,–,–,–,R,–,1,1,,,,,,,
800405c P. canescens ssp. richardsonii,–,–,–,S,S,R,1,,,,,,,,
800406 P. eriopoda,–,–,–,–,R,S,1,,,,,,,,
800407a P. maritima ssp. borealis,–,–,R,F,F,F,1,,,,,,,,
8005 Littorella,,,,,,,,,,,,,,,8005
800501 L. uniflora,–,–,–,–,R,S,1,,,,,,,,
8006 Hippuris,,,,,,,,,,,,,,,8006
800602 H. vulgaris,–,R,F,F,F,F,1,,,,,,,,
800603 H. lanceolata,–,–,–,R,F,F,1,,,,,,,,
800604 H. tetraphylla,–,–,?,F,F,F,1,,,,,,,,
8007 Callitriche,,,,,,,,,,,,,,,8007
800701 C. hermaphroditica,–,–,–,R,S,F,1,,,,,,,,
800702 C. cophocarpa,–,–,–,–,R,S,1,,,,,,,,
800703 C. palustris,–,–,R,S,F,F,1,,,,,,,,
800704 C. anceps,–,–,R,S,S,F,1,,,,,,,,
800705 C. hamulata,–,–,–,R,R,F,1,,,,,,,,
800706 C. stagnalis,–,–,–,–,R,S,1,,,,,,,,
81 OROBANCHACEAE,,,,,,,,,,,,,,,
8101 Boschniakia,,,,,,,,,,,,,,,8101
810101 Boschniakia rossica,–,–,–,R,S,F,1,,,,,,,,
8102 Castilleja,,,,,,,,,,,,,,,8102
810201 C. hyparctica,–,–,–,–,R,S,1,,,,,,,,
810202 C. septentrionalis,–,–,–,R,R,S,1,,,,,,,,
810203 C. lapponica,–,–,–,R,R,–,1,1,,,,,,,
810204 C. pavlovii,–,–,–,R,R,S,1,,,,,,,,
810205 C. caudata,–,–,–,R,F,F,1,,,,,,,,
810206 C. annua,–,–,–,–,b,S,1,,1,,,,,,
810207 C. yukonis,–,–,–,–,R,S,1,,,,,,,,
810208 C. hyperborea,–,–,–,R,R,F,1,,,,,,,,
810209 C. pseudohyperborea,–,–,–,–,R,R,1,,,,,,,,
810210 C. rubra,–,–,–,–,R,S,1,,,,,,,,
810211 C. elegans,–,–,R,F,F,R,1,,,,,,,,
810212 C. raupii,–,–,–,?,S,F,1,,,,,,,,
810213a C. arctica ssp. arctica,–,–,–,R,S,R,1,,,,,,,,
810213b C. arctica ssp. vorkutensis,–,–,–,–,R,R,1,,,,,,,,
8103 Melampyrum,,,,,,,,,,,,,,,8103
810301 M. sylvaticum,–,–,–,–,R,F,1,,,,,,,,
810302 M. pratense,–,–,–,–,R,F,1,,,,,,,,
8104 Euphrasia,,,,,,,,,,,,,,,8104
810401 E. wettsteinii,–,R,S,F,F,F,1,,,,,,,,
810402 E. vinacea,–,–,–,–,R,R,1,,,,,,,,
810403 E. mollis,–,–,–,–,R,S,1,,,,,,,,
810404 E. subarctica,–,–,–,–,R,F,1,,,,,,,,
810405 E. disjuncta,–,–,–,–,R,F,1,,,,,,,,
810406 E. stricta,–,–,–,–,R,F,1,,,,,,,,
810407 E. arctica,–,–,–,–,R,S,1,,,,,,,,
810408 E. frigida,–,–,–,X,X,–,1,1,,,,,,,
810409 E. hudsoniana,–,–,–,–,R,S,1,,,,,,,,
810410 E. hyperborea,–,–,–,–,R,F,1,,,,,,,,
810411 E. parviflora,–,–,–,–,R,F,1,,,,,,,1,
810412 E. salisburgensis,–,–,–,–,R,S,1,,,,,,,,
8105 Bartsia,,,,,,,,,,,,,,,8105
810501 B. alpina,–,–,?,F,F,F,1,,,,,,,,
8106 Rhinanthus,,,,,,,,,,,,,,,8106
810601 R. minor,–,–,–,R,F,F,1,,,,1,,,,
8107 Pedicularis,,,,,,,,,,,,,,,8107
810701 P. capitata,–,R,F,F,F,F,1,,,,,,,,
810702 P. sceptrum–carolinum,–,–,–,R,F,F,1,,,,,,,,
810703 P. tristis,–,–,–,–,S,S,1,,,,,,,,
810704 P. dasyantha,–,R,F,F,F,R,1,,,,,,,,
810705 P. alopecuroides,–,–,R,F,F,F,1,,,,,,,,
810706 P. lanata,?,S,F,F,F,F,1,,,,,,,,
810707 P. hirsuta,R,F,F,F,F,S,1,,,,,,,,
810708 P. langsdorffii,?,S,F,F,F,S,1,,,,,,,,
810709 P. flammea,–,R,F,F,F,R,1,,,,,,,,
810710 P. oederi,–,–,R,F,F,F,1,,,,,,,,
810711 P. albolabiata,–,R,F,F,F,F,1,,,,,,,,
810712 P. novaiae–zemliae,–,R,F,F,S,R,1,,,,,,,,
810713 P. arctoeuropaea,–,?,F,F,F,S,1,,,,,,,,
810714 P. interior,–,–,–,R,F,F,1,,,,,,,,
810715 P. pacifica,–,–,–,R,F,F,1,,,,,,,,
810716 P. villosa,–,–,R,S,F,F,1,,,,,,,,
810717 P. labradorica,–,–,–,R,F,F,1,,,,,,,,
810718 P. compacta,–,–,–,?,S,F,1,,,,,,,,
810719 P. lapponica,–,–,R,F,F,F,1,,,,,,,,
810720 P. adunca,–,–,–,–,*,R,1,,,1,,,,,
810721a P. palustris ssp. borealis,–,–,–,–,S,F,1,,,,,,,,
810721b P. palustris ssp. karoi,–,–,–,–,R,S,1,,,,,,,,
810722 P. parviflora,–,–,–,–,R,S,1,,,,,,,,
810723 P. pennellii,–,–,–,?,S,F,1,,,,,,,,
810724 P. hyperborea,–,–,–,–,S,S,1,,,,,,,,
810725 P. groenlandica,–,–,–,–,S,F,1,,,,,,,,
810726 P. verticillata,–,–,?,F,F,F,1,,,,,,,,
810727 P. amoena,–,–,R,F,F,F,1,,,,,,,,
810728 P. eriopoda,–,–,–,–,R,?,1,?,,,,,,,
82 LENTIBULARIACEAE,,,,,,,,,,,,,,,
8201 Pinguicula,,,,,,,,,,,,,,,8201
820101 P. vulgaris (ssp. vulgaris),–,–,–,S,F,F,1,,,,,,,,
820102 P. alpina,–,–,–,R,F,F,1,,,,,,,,
820103 P. spathulata,–,–,–,R,S,S,1,,,,,,,,
820104 P. algida,–,–,–,–,S,F,1,,,,,,,,
820105 P. villosa,–,–,–,–,S,F,1,,,,,,,,
8202 Utricularia,,,,,,,,,,,,,,,8202
820201a U. vulgaris ssp. vulgaris,–,–,–,–,R,F,1,,,,,,,,
820201b U. vulgaris ssp. macrorhiza,–,–,–,–,R,F,1,,,,,,,,
820202 U. intermedia,–,–,–,R,S,F,1,,,,,,,,
820203 U. ochroleuca,–,–,–,R,R,F,1,,,,,,,,
820204 U. minor,–,–,–,R,R,F,1,,,,,,,,
83 BORAGINACEAE,,,,,,,,,,,,,,,
8301 Eritrichium,,,,,,,,,,,,,,,8301
830101 E. villosum,R,S,F,F,F,F,1,,,,,,,,
830102 E. aretioides,–,–,?,F,F,S,1,,,,,,,,
830103 E. tschuktschorum,–,–,?,F,F,R,1,,,,,,,,
830104a E. sericeum ssp. sericeum,–,–,–,R,S,S,1,,,,,,,,
830104b E. sericeum ssp. arctisibiricum,–,–,R,F,F,S,1,,,,,,,,
830103 E. splendens,–,–,–,R,R,S,1,,,,,,,,
8302 Cryptantha,,,,,,,,,,,,,,,8302
830201 C. sp.,–,–,–,–,R,?,1,?,,,,,,,
8303 Amsinckia,,,,,,,,,,,,,,,8303
830301 A. lycopsoides,–,–,–,–,*,*,1,,,1,,,,,
8304 Symphytum,,,,,,,,,,,,,,,8304
830401 S. asperum,–,–,–,–,*,*,1,,,,,1,,,
8305 Mertensia,,,,,,,,,,,,,,,8305
830501a M. maritima ssp. maritima,–,–,–,–,F,F,1,,,,,,,,
830501c M. maritima ssp. tenella,–,R,F,F,S,R,1,,,,,,,,
830502 M. drummondii,–,–,R,R,R,–,1,1,,,,,,,
830503 M. paniculata (var. paniculata),–,–,–,R,S,F,1,,,,,,,,
830504 M. eastwoodae,–,–,–,–,R,R,1,,,,,,,,
830505 M. pubescens,–,–,–,–,R,F,1,,,,,,,,
8306 Myosotis,,,,,,,,,,,,,,,8306
830601 M. scorpioides,–,–,–,–,S,F,1,,,,,,1,,
830602a M. laxa ssp. cespitosa,–,–,–,–,R,F,1,,,1,,,,,
830603 M. decumbens (ssp. decumbens),–,–,–,–,S,F,1,,,,,,,,
830604 M. pseudovariabilis,–,–,–,–,R,R,1,,,,,,,,
830605 M. arvensis,–,–,**,**,R,S,1,,,,,,1,,
830606a M. alpestris ssp. asiatica,–,R,F,F,F,F,1,,,,,,,,
830607 M. stricta,–,–,–,–,b,S,1,,1,,,,,,
8307 Asperugo,,,,,,,,,,,,,,,8307
830701 A. procumbens,–,–,–,*,*,F,1,,,,,1,,,
8308 Lappula,,,,,,,,,,,,,,,8308
830801 L. occidentalis,–,–,–,–,*,S,1,,,1,,,,,
830802 L. myosotis,–,–,**,–,*,*,1,,,,,1,,,
84 CAMPANULACEAE,,,,,,,,,,,,,,,
8401 Campanula,,,,,,,,,,,,,,,8401
840101 C. turczaninovii,–,–,–,–,R,S,1,,,,,,,,
840102 C. lasiocarpa (ssp. lasiocarpa),–,–,–,R,F,F,1,,,,,,,,
840103 C. rotundifolia,–,–,R,F,F,F,1,,,,1,,,,
840103b C. rotundifolia ssp. langsdorffiana,–,–,–,–,S,F,1,,,,,,,,
840104 C. uniflora,–,R,F,F,F,S,1,,,,,,,,
840105 C. glomerata,–,–,–,–,*,S,1,,,1,,,,,
840106 C. aurita,–,–,–,–,b,S,1,,1,,,,,,
8402 Lobelia,,,,,,,,,,,,,,,8402
840201 L. kalmii,–,–,–,–,b,S,1,,1,,,,,,
85 MENYANTHACEAE,,,,,,,,,,,,,,,
8501 Menyanthes,,,,,,,,,,,,,,,8501
850101 M. trifoliata,–,–,–,R,F,F,1,,,,,,,,
86 ASTERACEAE,,,,,,,,,,,,,,,
8601 Solidago,,,,,,,,,,,,,,,8601
860101a S. virgaurea ssp. virgaurea,–,–,–,–,R,F,1,,,,,,,,
860101b S. virgaurea ssp. lapponica,–,–,–,R,F,F,1,,,,,,,,
860103 S. dahurica,–,–,–,–,R,S,1,,,,,,,,
860104a S. multiradiata ssp. multiradiata,–,–,–,S,F,F,1,,,,,,,,
860104b S. multiradiata ssp. arctica,–,–,–,S,F,F,1,,,,,,,,
860105 S. simplex,–,–,–,–,R,F,1,,,,,,,,
860106 S. macrophylla,–,–,–,–,R,F,1,,,,,,,,
860107 S. uliginosa,–,–,–,–,R,F,1,,,,,,,,
860108 S. lepida,–,–,–,–,b,F,1,,1,,,,,,
8602 Euthamia,,,,,,,,,,,,,,,8602
860201 E. graminifolia,–,–,–,–,b,F,1,,1,,,,,,
8603 Aster,,,,,,,,,,,,,,,8603
860301a A. alpinus ssp. vierhapperi,–,–,?,R,F,F,1,,,,,,,,
8604 Eurybia,,,,,,,,,,,,,,,8604
860401 E. sibirica,–,–,–,R,F,F,1,,,,,,,,
860402 E. radula,–,–,–,–,b,F,1,,1,,,,,,
8605 Symphyotrichum,,,,,,,,,,,,,,,8605
860501 S. pygmaeum,–,–,–,R,R,–,1,1,,,,,,,
860502 S. yukonense,–,–,–,–,R,R,1,,,,,,,,
860503a S. ericoides var. pansus,–,–,–,–,b,F,1,,1,,,,,,
860504 S. falcatum,–,–,–,–,b,F,1,,1,,,,,,
860505 S. spathulatum,–,–,–,–,b,F,1,,1,,,,,,
860506 S. lanceolatum,–,–,–,–,b,F,1,,1,,,,,,
860507 S. boreale,–,–,–,–,R,F,1,,,,,,,,
860508 S. puniceum,–,–,–,–,R,F,1,,,,,,,,
860509 S. ciliolatum,–,–,–,–,R,F,1,,,,,,,,
8606 Tripolium,,,,,,,,,,,,,,,8606
860601a T. pannonicum ssp. tripolium,–,–,–,–,R,S,1,,,,,,,,
8607 Erigeron,,,,,,,,,,,,,,,8607
860701 E. compositus,?,R,F,F,F,F,1,,,,,,,,
860702 E. purpuratus,–,–,–,?,S,S,1,,,,,,,,
860703 E. denalii,–,–,–,–,R,S,1,,,,,,,,
860704 E. silenifolius,–,–,–,R,R,F,1,,,,,,,,
860705 E. hyperboreus,–,–,–,R,S,S,1,,,,,,,,
860706 E. koraginensis,–,–,S,S,S,S,1,,,,,,,,
860707 E. porsildii,–,–,–,R,S,S,1,,,,,,,,
860708 E. muirii,–,–,S,S,S,R,1,,,,,,,,
860709 E. yukonensis,–,–,–,–,R,S,1,,,,,,,,
860710 E. humilis,–,R,F,F,F,F,1,,,,,,,,
860711 E. uniflorus,–,–,–,–,F,F,1,,,,,,,,
860712 E. eriocephalus,?,S,F,F,F,S,1,,,,,,,,
860713 E. eriocalyx,–,–,–,R,F,F,1,,,,,,,,
860714 E. alpiniformis,–,–,–,R,F,–,1,1,,,,,,,
860715 E. borealis,–,–,–,R,F,F,1,,,,,,,,
860716a E. acris ssp. acris,–,–,–,–,R,F,1,,,,,,,,
860716b E. acris ssp. politus,–,–,–,–,S,F,1,,,,,,,,
860716c E. acris ssp. kamtschaticus,–,–,–,–,R,F,1,,,,,,,,
860717 E. lonchophyllus,–,–,–,–,R,F,1,,,,,,,,
860718 E. elatus,–,–,–,–,S,F,1,,,,,,,,
860719 E. peregrinus (ssp. peregrinus),–,–,–,–,b,F,1,,1,,,,,,
860720a E. glabellus ssp. pubescens,–,–,–,–,R,S,1,,,,,,,,
860722 E. ochroleucus,–,–,–,–,R,R,1,,,,,,,,
860723 E. hyssopifolius,–,–,–,–,R,F,1,,,,,,,,
8608 Antennaria,,,,,,,,,,,,,,,8608
860801 A. villifera,–,–,R,F,F,F,1,,,,,,,,
860802 A. pulcherrima,–,–,–,–,R,F,1,,,,,,,,
860803 A. neglecta,–,–,–,–,R,S,1,,,,,,,,
860804 A. dioica,–,–,–,R,F,F,1,,,,,,,,
860805 A. microphylla,–,–,–,–,R,F,1,,,,,,,,
860806a A. rosea ssp. rosea,–,–,–,–,S,F,1,,,,,,,,
860806b A. rosea ssp. confinis,–,–,–,–,b,S,1,,1,,,,,,
860806c A. rosea ssp. pulvinata,–,–,?,S,S,F,1,,,,,,,,
860807a A. media ssp. compacta,–,R,S,S,S,R,1,,,,,,,,
860807b A. media ssp. fusca,–,–,–,–,R,R,1,,,,,,,,
860808a A. alpina ssp. alpina,–,–,?,?,F,F,1,,,,,,,,
860808b A. alpina ssp. canescens,–,–,?,F,F,S,1,,,,,,,,
860808c A. alpina ssp. porsildii,–,–,R,S,R,R,1,,,,,,,,
860809a A. friesiana ssp. friesiana,?,R,F,F,F,S,1,,,,,,,,
860809b A. friesiana ssp. alaskana,–,–,–,F,F,F,1,,,,,,,,
860809c A. friesiana ssp. neoalaskana,–,–,–,?,R,S,1,,,,,,,,
860810a A. monocephala ssp. monocephala,–,–,–,R,S,F,1,,,,,,,,
860810b A. monocephala ssp. angustata,–,–,?,S,S,R,1,,,,,,,,
8609 Gnaphalium,,,,,,,,,,,,,,,8609
860901 G. uliginosum,–,–,–,R,R,S,1,,,,,,,1,
8610 Omalotheca,,,,,,,,,,,,,,,8610
861001 O. sylvatica,–,–,–,–,R,F,1,,,,1,,,,
861002 O. norvegica,–,–,–,R,F,F,1,,,,,,,,
861003 O. supina,–,–,R,F,F,F,1,,,,,,,,
8611 Leontopodium,,,,,,,,,,,,,,,8611
861101 L. kurilense,–,–,–,–,R,S,1,,,,,,,,
8612 Arnica,,,,,,,,,,,,,,,8612
861201a A. angustifolia ssp. angustifolia,–,?,S,F,F,F,1,,,,,,,,
861201b A. angustifolia ssp. tomentosa,–,–,–,–,R,S,1,,,,,,,,
861202 A. lonchophylla (ssp. lonchophylla),–,–,–,–,R,F,1,,,,,,,,
861203a A. griscomii ssp. frigida,–,–,?,S,F,F,1,,,,,,,,
861204 A. unalaschkensis,–,–,–,–,R,S,1,,,,,,,,
861205 A. lessingii,–,–,–,R,F,F,1,,,,,,,,
861206a A. chamissonis ssp. chamissonis,–,–,–,–,b,S,1,,1,,,,,,
861206b A. chamissonis ssp. foliosa,–,–,–,–,b,F,1,,1,,,,,,
8613 Bidens,,,,,,,,,,,,,,,8613
